GEOID10,Tract,State,State_FIPS,Count_FIPS,Tract_FIPS,FIPS,Area_Land,Area_Water,MHHI2014
08013012101,"Census Tract 121.01, Boulder County, Colorado",co,8,13,12101,14000US08013012101,2859895,0,101328
08013012102,"Census Tract 121.02, Boulder County, Colorado",co,8,13,12102,14000US08013012102,2882035,0,63333
08013012103,"Census Tract 121.03, Boulder County, Colorado",co,8,13,12103,14000US08013012103,2305549,2740,87708
08013012104,"Census Tract 121.04, Boulder County, Colorado",co,8,13,12104,14000US08013012104,2700890,96592,87875
08013012105,"Census Tract 121.05, Boulder County, Colorado",co,8,13,12105,14000US08013012105,2475536,470,66885
08013012201,"Census Tract 122.01, Boulder County, Colorado",co,8,13,12201,14000US08013012201,5301720,0,66328
08013012202,"Census Tract 122.02, Boulder County, Colorado",co,8,13,12202,14000US08013012202,1644037,0,37994
08013012203,"Census Tract 122.03, Boulder County, Colorado",co,8,13,12203,14000US08013012203,6477498,189307,47027
08013012204,"Census Tract 122.04, Boulder County, Colorado",co,8,13,12204,14000US08013012204,1393804,0,31064
08013012300,"Census Tract 123, Boulder County, Colorado",co,8,13,12300,14000US08013012300,1419717,8081,33333
08013012401,"Census Tract 124.01, Boulder County, Colorado",co,8,13,12401,14000US08013012401,1117353,0,19852
08013012501,"Census Tract 125.01, Boulder County, Colorado",co,8,13,12501,14000US08013012501,3414187,24163,65469
08013012505,"Census Tract 125.05, Boulder County, Colorado",co,8,13,12505,14000US08013012505,15077873,10340,105101
08013012507,"Census Tract 125.07, Boulder County, Colorado",co,8,13,12507,14000US08013012507,1639186,0,60103
08013012508,"Census Tract 125.08, Boulder County, Colorado",co,8,13,12508,14000US08013012508,3508949,55032,63594
08013012509,"Census Tract 125.09, Boulder County, Colorado",co,8,13,12509,14000US08013012509,1764762,51241,90536
08013012510,"Census Tract 125.10, Boulder County, Colorado",co,8,13,12510,14000US08013012510,50683708,87793,119938
08013012511,"Census Tract 125.11, Boulder County, Colorado",co,8,13,12511,14000US08013012511,1931920,11251,44224
08013012603,"Census Tract 126.03, Boulder County, Colorado",co,8,13,12603,14000US08013012603,1740258,0,90648
08013012605,"Census Tract 126.05, Boulder County, Colorado",co,8,13,12605,14000US08013012605,1233402,0,31969
08013012607,"Census Tract 126.07, Boulder County, Colorado",co,8,13,12607,14000US08013012607,718299,0,22142
08013012608,"Census Tract 126.08, Boulder County, Colorado",co,8,13,12608,14000US08013012608,895459,0,64044
08013012701,"Census Tract 127.01, Boulder County, Colorado",co,8,13,12701,14000US08013012701,46700916,3681102,116500
08013012705,"Census Tract 127.05, Boulder County, Colorado",co,8,13,12705,14000US08013012705,4379382,132676,59398
08013012707,"Census Tract 127.07, Boulder County, Colorado",co,8,13,12707,14000US08013012707,30448599,4306832,63063
08013012708,"Census Tract 127.08, Boulder County, Colorado",co,8,13,12708,14000US08013012708,5624345,25141,101528
08013012709,"Census Tract 127.09, Boulder County, Colorado",co,8,13,12709,14000US08013012709,9706911,154534,92426
08013012710,"Census Tract 127.10, Boulder County, Colorado",co,8,13,12710,14000US08013012710,19194125,1134238,97063
08013012800,"Census Tract 128, Boulder County, Colorado",co,8,13,12800,14000US08013012800,39390031,1372008,110614
08013012903,"Census Tract 129.03, Boulder County, Colorado",co,8,13,12903,14000US08013012903,3875605,11441,130833
08013012904,"Census Tract 129.04, Boulder County, Colorado",co,8,13,12904,14000US08013012904,3149613,264960,77934
08013012905,"Census Tract 129.05, Boulder County, Colorado",co,8,13,12905,14000US08013012905,1330229,0,55699
08013012907,"Census Tract 129.07, Boulder County, Colorado",co,8,13,12907,14000US08013012907,6493440,62077,78325
08013013003,"Census Tract 130.03, Boulder County, Colorado",co,8,13,13003,14000US08013013003,12252859,78207,80108
08013013004,"Census Tract 130.04, Boulder County, Colorado",co,8,13,13004,14000US08013013004,2011022,113763,119250
08013013005,"Census Tract 130.05, Boulder County, Colorado",co,8,13,13005,14000US08013013005,1931961,923,74286
08013013006,"Census Tract 130.06, Boulder County, Colorado",co,8,13,13006,14000US08013013006,3221668,12060,90865
08013013201,"Census Tract 132.01, Boulder County, Colorado",co,8,13,13201,14000US08013013201,58546080,3906169,78438
08013013202,"Census Tract 132.02, Boulder County, Colorado",co,8,13,13202,14000US08013013202,63327983,2252662,105625
08013013205,"Census Tract 132.05, Boulder County, Colorado",co,8,13,13205,14000US08013013205,22822669,23597,104144
08013013207,"Census Tract 132.07, Boulder County, Colorado",co,8,13,13207,14000US08013013207,5461604,1058540,64921
08013013208,"Census Tract 132.08, Boulder County, Colorado",co,8,13,13208,14000US08013013208,3228918,33972,63121
08013013210,"Census Tract 132.10, Boulder County, Colorado",co,8,13,13210,14000US08013013210,5593416,220420,59571
08013013211,"Census Tract 132.11, Boulder County, Colorado",co,8,13,13211,14000US08013013211,52397636,2388037,91111
08013013212,"Census Tract 132.12, Boulder County, Colorado",co,8,13,13212,14000US08013013212,8476238,590397,95625
08013013213,"Census Tract 132.13, Boulder County, Colorado",co,8,13,13213,14000US08013013213,20195876,390458,74233
